"Step","rank: 25 - perplexity/train","rank: 25 - perplexity/train__MIN","rank: 25 - perplexity/train__MAX","rank: 20 - perplexity/train","rank: 20 - perplexity/train__MIN","rank: 20 - perplexity/train__MAX","rank: 30 - perplexity/train","rank: 30 - perplexity/train__MIN","rank: 30 - perplexity/train__MAX","rank: 35 - perplexity/train","rank: 35 - perplexity/train__MIN","rank: 35 - perplexity/train__MAX","rank: 17 - perplexity/train","rank: 17 - perplexity/train__MIN","rank: 17 - perplexity/train__MAX","rank: 10 - perplexity/train","rank: 10 - perplexity/train__MIN","rank: 10 - perplexity/train__MAX","rank: 5 - perplexity/train","rank: 5 - perplexity/train__MIN","rank: 5 - perplexity/train__MAX"
"41","68.78117370605469","68.78117370605469","68.78117370605469","82.38606262207031","82.38606262207031","82.38606262207031","57.28575134277344","57.28575134277344","57.28575134277344","47.6068229675293","47.6068229675293","47.6068229675293","93.03790283203125","93.03790283203125","93.03790283203125","127.75755310058594","127.75755310058594","127.75755310058594","183.1490478515625","183.1490478515625","183.1490478515625"
"43","67.84191131591797","67.84191131591797","67.84191131591797","81.52559661865234","81.52559661865234","81.52559661865234","56.201622009277344","56.201622009277344","56.201622009277344","46.695823669433594","46.695823669433594","46.695823669433594","92.02818298339844","92.02818298339844","92.02818298339844","126.98979949951172","126.98979949951172","126.98979949951172","182.3296661376953","182.3296661376953","182.3296661376953"
"45","67.04277038574219","67.04277038574219","67.04277038574219","80.56813049316406","80.56813049316406","80.56813049316406","55.34987258911133","55.34987258911133","55.34987258911133","45.98919677734375","45.98919677734375","45.98919677734375","91.29734802246094","91.29734802246094","91.29734802246094","126.23326110839844","126.23326110839844","126.23326110839844","181.9037322998047","181.9037322998047","181.9037322998047"
"47","66.08373260498047","66.08373260498047","66.08373260498047","79.82099914550781","79.82099914550781","79.82099914550781","54.525413513183594","54.525413513183594","54.525413513183594","45.115543365478516","45.115543365478516","45.115543365478516","90.64868927001953","90.64868927001953","90.64868927001953","125.7627182006836","125.7627182006836","125.7627182006836","181.61874389648438","181.61874389648438","181.61874389648438"
"49","65.2281723022461","65.2281723022461","65.2281723022461","79.04535675048828","79.04535675048828","79.04535675048828","53.83369445800781","53.83369445800781","53.83369445800781","44.50818634033203","44.50818634033203","44.50818634033203","89.86725616455078","89.86725616455078","89.86725616455078","125.03205108642578","125.03205108642578","125.03205108642578","180.9188232421875","180.9188232421875","180.9188232421875"
"51","64.48612976074219","64.48612976074219","64.48612976074219","78.45835876464844","78.45835876464844","78.45835876464844","53.030006408691406","53.030006408691406","53.030006408691406","43.77438735961914","43.77438735961914","43.77438735961914","89.294189453125","89.294189453125","89.294189453125","124.74788665771484","124.74788665771484","124.74788665771484","180.49290466308594","180.49290466308594","180.49290466308594"
"53","63.793880462646484","63.793880462646484","63.793880462646484","77.6509780883789","77.6509780883789","77.6509780883789","52.288902282714844","52.288902282714844","52.288902282714844","43.239315032958984","43.239315032958984","43.239315032958984","88.33411407470703","88.33411407470703","88.33411407470703","124.04117584228516","124.04117584228516","124.04117584228516","180.04641723632812","180.04641723632812","180.04641723632812"
"55","63.08649444580078","63.08649444580078","63.08649444580078","77.04264068603516","77.04264068603516","77.04264068603516","51.62904739379883","51.62904739379883","51.62904739379883","42.57208251953125","42.57208251953125","42.57208251953125","87.79389953613281","87.79389953613281","87.79389953613281","123.63029479980469","123.63029479980469","123.63029479980469","179.8985137939453","179.8985137939453","179.8985137939453"
"57","62.28685760498047","62.28685760498047","62.28685760498047","76.28253936767578","76.28253936767578","76.28253936767578","50.95465850830078","50.95465850830078","50.95465850830078","42.06040954589844","42.06040954589844","42.06040954589844","87.17166137695312","87.17166137695312","87.17166137695312","123.02224731445312","123.02224731445312","123.02224731445312","179.03244018554688","179.03244018554688","179.03244018554688"
"59","61.824275970458984","61.824275970458984","61.824275970458984","75.71501922607422","75.71501922607422","75.71501922607422","50.43766403198242","50.43766403198242","50.43766403198242","41.55859375","41.55859375","41.55859375","86.73046875","86.73046875","86.73046875","122.70551300048828","122.70551300048828","122.70551300048828","179.02442932128906","179.02442932128906","179.02442932128906"
"61","61.222267150878906","61.222267150878906","61.222267150878906","75.24979400634766","75.24979400634766","75.24979400634766","49.91157531738281","49.91157531738281","49.91157531738281","41.080169677734375","41.080169677734375","41.080169677734375","86.23070526123047","86.23070526123047","86.23070526123047","122.25857543945312","122.25857543945312","122.25857543945312","178.2500457763672","178.2500457763672","178.2500457763672"
"63","60.7269287109375","60.7269287109375","60.7269287109375","74.67830657958984","74.67830657958984","74.67830657958984","49.44719696044922","49.44719696044922","49.44719696044922","40.68880844116211","40.68880844116211","40.68880844116211","85.64958953857422","85.64958953857422","85.64958953857422","121.90125274658203","121.90125274658203","121.90125274658203","178.1547088623047","178.1547088623047","178.1547088623047"
"65","60.156585693359375","60.156585693359375","60.156585693359375","74.02899169921875","74.02899169921875","74.02899169921875","48.89166259765625","48.89166259765625","48.89166259765625","40.198001861572266","40.198001861572266","40.198001861572266","85.1457748413086","85.1457748413086","85.1457748413086","121.59839630126953","121.59839630126953","121.59839630126953","177.8082733154297","177.8082733154297","177.8082733154297"
"67","59.68838119506836","59.68838119506836","59.68838119506836","73.67217254638672","73.67217254638672","73.67217254638672","48.45748519897461","48.45748519897461","48.45748519897461","39.881290435791016","39.881290435791016","39.881290435791016","84.6121597290039","84.6121597290039","84.6121597290039","121.25586700439453","121.25586700439453","121.25586700439453","177.53945922851562","177.53945922851562","177.53945922851562"
"69","59.06523132324219","59.06523132324219","59.06523132324219","73.18603515625","73.18603515625","73.18603515625","48.08024978637695","48.08024978637695","48.08024978637695","39.44771957397461","39.44771957397461","39.44771957397461","84.28627014160156","84.28627014160156","84.28627014160156","120.80181121826172","120.80181121826172","120.80181121826172","177.49868774414062","177.49868774414062","177.49868774414062"
