"Step","rank: 17 - loss/train","rank: 17 - loss/train__MIN","rank: 17 - loss/train__MAX","rank: 10 - loss/train","rank: 10 - loss/train__MIN","rank: 10 - loss/train__MAX","rank: 8 - loss/train","rank: 8 - loss/train__MIN","rank: 8 - loss/train__MAX","rank: 6 - loss/train","rank: 6 - loss/train__MIN","rank: 6 - loss/train__MAX","rank: 4 - loss/train","rank: 4 - loss/train__MIN","rank: 4 - loss/train__MAX"
"43","4.504960060119629","4.504960060119629","4.504960060119629","4.827706813812256","4.827706813812256","4.827706813812256","4.9446821212768555","4.9446821212768555","4.9446821212768555","5.092305660247803","5.092305660247803","5.092305660247803","5.319365501403809","5.319365501403809","5.319365501403809"
"45","4.497801303863525","4.497801303863525","4.497801303863525","4.821948528289795","4.821948528289795","4.821948528289795","4.939975738525391","4.939975738525391","4.939975738525391","5.087334156036377","5.087334156036377","5.087334156036377","5.316637992858887","5.316637992858887","5.316637992858887"
"47","4.490261077880859","4.490261077880859","4.490261077880859","4.8176350593566895","4.8176350593566895","4.8176350593566895","4.936007499694824","4.936007499694824","4.936007499694824","5.083844184875488","5.083844184875488","5.083844184875488","5.314104080200195","5.314104080200195","5.314104080200195"
"49","4.481021404266357","4.481021404266357","4.481021404266357","4.812808036804199","4.812808036804199","4.812808036804199","4.9326090812683105","4.9326090812683105","4.9326090812683105","5.079533100128174","5.079533100128174","5.079533100128174","5.312541961669922","5.312541961669922","5.312541961669922"
"51","4.474332809448242","4.474332809448242","4.474332809448242","4.808427810668945","4.808427810668945","4.808427810668945","4.929461479187012","4.929461479187012","4.929461479187012","5.076831340789795","5.076831340789795","5.076831340789795","5.311302661895752","5.311302661895752","5.311302661895752"
"53","4.465673923492432","4.465673923492432","4.465673923492432","4.803079605102539","4.803079605102539","4.803079605102539","4.925284385681152","4.925284385681152","4.925284385681152","5.073915481567383","5.073915481567383","5.073915481567383","5.308964252471924","5.308964252471924","5.308964252471924"
"55","4.459201335906982","4.459201335906982","4.459201335906982","4.799969673156738","4.799969673156738","4.799969673156738","4.9230780601501465","4.9230780601501465","4.9230780601501465","5.071217060089111","5.071217060089111","5.071217060089111","5.307505130767822","5.307505130767822","5.307505130767822"
"57","4.451828956604004","4.451828956604004","4.451828956604004","4.796299457550049","4.796299457550049","4.796299457550049","4.919973373413086","4.919973373413086","4.919973373413086","5.069096565246582","5.069096565246582","5.069096565246582","5.306135177612305","5.306135177612305","5.306135177612305"
"59","4.446688175201416","4.446688175201416","4.446688175201416","4.794157028198242","4.794157028198242","4.794157028198242","4.917931079864502","4.917931079864502","4.917931079864502","5.066494464874268","5.066494464874268","5.066494464874268","5.304937362670898","5.304937362670898","5.304937362670898"
"61","4.439919948577881","4.439919948577881","4.439919948577881","4.78982400894165","4.78982400894165","4.78982400894165","4.914294242858887","4.914294242858887","4.914294242858887","5.0641021728515625","5.0641021728515625","5.0641021728515625","5.302754878997803","5.302754878997803","5.302754878997803"
"63","4.433748245239258","4.433748245239258","4.433748245239258","4.786680698394775","4.786680698394775","4.786680698394775","4.913205623626709","4.913205623626709","4.913205623626709","5.063113212585449","5.063113212585449","5.063113212585449","5.301779747009277","5.301779747009277","5.301779747009277"
"65","4.427741527557373","4.427741527557373","4.427741527557373","4.784658432006836","4.784658432006836","4.784658432006836","4.909612655639648","4.909612655639648","4.909612655639648","5.060920715332031","5.060920715332031","5.060920715332031","5.300889015197754","5.300889015197754","5.300889015197754"
