"epoch","rank: 50 - _step","rank: 50 - _step__MIN","rank: 50 - _step__MAX","rank: 50 - perplexity_valid","rank: 50 - perplexity_valid__MIN","rank: 50 - perplexity_valid__MAX","rank: 40 - _step","rank: 40 - _step__MIN","rank: 40 - _step__MAX","rank: 40 - perplexity_valid","rank: 40 - perplexity_valid__MIN","rank: 40 - perplexity_valid__MAX","rank: 20 - _step","rank: 20 - _step__MIN","rank: 20 - _step__MAX","rank: 20 - perplexity_valid","rank: 20 - perplexity_valid__MIN","rank: 20 - perplexity_valid__MAX","rank: 10 - _step","rank: 10 - _step__MIN","rank: 10 - _step__MAX","rank: 10 - perplexity_valid","rank: 10 - perplexity_valid__MIN","rank: 10 - perplexity_valid__MAX","rank: 30 - _step","rank: 30 - _step__MIN","rank: 30 - _step__MAX","rank: 30 - perplexity_valid","rank: 30 - perplexity_valid__MIN","rank: 30 - perplexity_valid__MAX"
"28","56","56","56","125.62938690185547","125.62938690185547","125.62938690185547","56","56","56","125.58042907714844","125.58042907714844","125.58042907714844","56","56","56","133.5361328125","133.5361328125","133.5361328125","56","56","56","157.08026123046875","157.08026123046875","157.08026123046875","56","56","56","127.85941314697266","127.85941314697266","127.85941314697266"
"29","58","58","58","125.22184753417969","125.22184753417969","125.22184753417969","58","58","58","125.75763702392578","125.75763702392578","125.75763702392578","58","58","58","132.37474060058594","132.37474060058594","132.37474060058594","58","58","58","155.5931854248047","155.5931854248047","155.5931854248047","58","58","58","127.20097351074219","127.20097351074219","127.20097351074219"
"30","60","60","60","124.94461822509766","124.94461822509766","124.94461822509766","60","60","60","126.17390441894531","126.17390441894531","126.17390441894531","60","60","60","132.35354614257812","132.35354614257812","132.35354614257812","60","60","60","154.93569946289062","154.93569946289062","154.93569946289062","60","60","60","126.54740142822266","126.54740142822266","126.54740142822266"
"31","62","62","62","125.36126708984375","125.36126708984375","125.36126708984375","62","62","62","125.21540069580078","125.21540069580078","125.21540069580078","62","62","62","131.90333557128906","131.90333557128906","131.90333557128906","62","62","62","154.77919006347656","154.77919006347656","154.77919006347656","62","62","62","127.16692352294922","127.16692352294922","127.16692352294922"
"32","64","64","64","124.9652328491211","124.9652328491211","124.9652328491211","64","64","64","125.14973449707031","125.14973449707031","125.14973449707031","64","64","64","131.65626525878906","131.65626525878906","131.65626525878906","64","64","64","155.36453247070312","155.36453247070312","155.36453247070312","64","64","64","126.71435546875","126.71435546875","126.71435546875"
"33","66","66","66","125.45362854003906","125.45362854003906","125.45362854003906","66","66","66","124.81009674072266","124.81009674072266","124.81009674072266","66","66","66","131.9102783203125","131.9102783203125","131.9102783203125","66","66","66","154.32623291015625","154.32623291015625","154.32623291015625","66","66","66","126.94940948486328","126.94940948486328","126.94940948486328"
"34","68","68","68","125.42080688476562","125.42080688476562","125.42080688476562","68","68","68","126.01261138916016","126.01261138916016","126.01261138916016","68","68","68","131.5414581298828","131.5414581298828","131.5414581298828","68","68","68","154.0638427734375","154.0638427734375","154.0638427734375","68","68","68","126.19976043701172","126.19976043701172","126.19976043701172"
"35","70","70","70","124.94312286376953","124.94312286376953","124.94312286376953","70","70","70","125.0946044921875","125.0946044921875","125.0946044921875","70","70","70","131.19146728515625","131.19146728515625","131.19146728515625","70","70","70","153.97239685058594","153.97239685058594","153.97239685058594","70","70","70","126.90863037109375","126.90863037109375","126.90863037109375"
"36","72","72","72","125.59500885009766","125.59500885009766","125.59500885009766","72","72","72","125.72563934326172","125.72563934326172","125.72563934326172","72","72","72","130.83734130859375","130.83734130859375","130.83734130859375","72","72","72","153.68023681640625","153.68023681640625","153.68023681640625","72","72","72","126.02769470214844","126.02769470214844","126.02769470214844"
"37","74","74","74","125.23927307128906","125.23927307128906","125.23927307128906","74","74","74","125.31106567382812","125.31106567382812","125.31106567382812","74","74","74","131.2044219970703","131.2044219970703","131.2044219970703","74","74","74","155.01092529296875","155.01092529296875","155.01092529296875","74","74","74","126.15576171875","126.15576171875","126.15576171875"
