"Step","RACs_ptb - perplexity_valid","RACs_ptb - perplexity_valid__MIN","RACs_ptb - perplexity_valid__MAX","RNN_ptb - perplexity_valid","RNN_ptb - perplexity_valid__MIN","RNN_ptb - perplexity_valid__MAX","TinyTNLM_ptb - perplexity_valid","TinyTNLM_ptb - perplexity_valid__MIN","TinyTNLM_ptb - perplexity_valid__MAX","MRNN_ptb - perplexity_valid","MRNN_ptb - perplexity_valid__MIN","MRNN_ptb - perplexity_valid__MAX","MIRNN_ptb - perplexity_valid","MIRNN_ptb - perplexity_valid__MIN","MIRNN_ptb - perplexity_valid__MAX","Second_ptb - perplexity_valid","Second_ptb - perplexity_valid__MIN","Second_ptb - perplexity_valid__MAX"
"52","136.0659637451172","136.0659637451172","136.0659637451172","140.38462829589844","140.38462829589844","140.38462829589844","148.9486846923828","148.9486846923828","148.9486846923828","117.32369995117188","117.32369995117188","117.32369995117188","119.84575653076172","119.84575653076172","119.84575653076172","119.62378692626953","119.62378692626953","119.62378692626953"
"54","134.21092224121094","134.21092224121094","134.21092224121094","139.17213439941406","139.17213439941406","139.17213439941406","150.84205627441406","150.84205627441406","150.84205627441406","116.57357788085938","116.57357788085938","116.57357788085938","119.7872085571289","119.7872085571289","119.7872085571289","120.97151184082031","120.97151184082031","120.97151184082031"
"56","133.51966857910156","133.51966857910156","133.51966857910156","138.0073699951172","138.0073699951172","138.0073699951172","152.45733642578125","152.45733642578125","152.45733642578125","115.10533905029297","115.10533905029297","115.10533905029297","117.9896011352539","117.9896011352539","117.9896011352539","120.48501586914062","120.48501586914062","120.48501586914062"
"58","132.9102783203125","132.9102783203125","132.9102783203125","137.6460723876953","137.6460723876953","137.6460723876953","148.71046447753906","148.71046447753906","148.71046447753906","116.6760482788086","116.6760482788086","116.6760482788086","119.54132080078125","119.54132080078125","119.54132080078125","119.62403869628906","119.62403869628906","119.62403869628906"
"60","130.6127471923828","130.6127471923828","130.6127471923828","135.94520568847656","135.94520568847656","135.94520568847656","149.0354461669922","149.0354461669922","149.0354461669922","116.88911437988281","116.88911437988281","116.88911437988281","118.9186019897461","118.9186019897461","118.9186019897461","118.78819274902344","118.78819274902344","118.78819274902344"
"62","130.3907928466797","130.3907928466797","130.3907928466797","135.7985076904297","135.7985076904297","135.7985076904297","153.3929901123047","153.3929901123047","153.3929901123047","115.68354034423828","115.68354034423828","115.68354034423828","119.51386260986328","119.51386260986328","119.51386260986328","120.4743423461914","120.4743423461914","120.4743423461914"
"64","129.57435607910156","129.57435607910156","129.57435607910156","135.01913452148438","135.01913452148438","135.01913452148438","149.57484436035156","149.57484436035156","149.57484436035156","114.24139404296875","114.24139404296875","114.24139404296875","120.50947570800781","120.50947570800781","120.50947570800781","119.92914581298828","119.92914581298828","119.92914581298828"
"66","128.4610595703125","128.4610595703125","128.4610595703125","133.31849670410156","133.31849670410156","133.31849670410156","149.4215545654297","149.4215545654297","149.4215545654297","116.31201171875","116.31201171875","116.31201171875","119.18894958496094","119.18894958496094","119.18894958496094","122.64513397216797","122.64513397216797","122.64513397216797"
"68","128.30885314941406","128.30885314941406","128.30885314941406","134.29808044433594","134.29808044433594","134.29808044433594","148.40342712402344","148.40342712402344","148.40342712402344","117.0855484008789","117.0855484008789","117.0855484008789","120.69214630126953","120.69214630126953","120.69214630126953","120.10283660888672","120.10283660888672","120.10283660888672"
"70","127.26606750488281","127.26606750488281","127.26606750488281","132.65684509277344","132.65684509277344","132.65684509277344","149.54898071289062","149.54898071289062","149.54898071289062","114.82543182373047","114.82543182373047","114.82543182373047","120.47220611572266","120.47220611572266","120.47220611572266","120.44023132324219","120.44023132324219","120.44023132324219"
"72","126.55792236328125","126.55792236328125","126.55792236328125","131.44166564941406","131.44166564941406","131.44166564941406","148.7781982421875","148.7781982421875","148.7781982421875","116.25605010986328","116.25605010986328","116.25605010986328","121.3140640258789","121.3140640258789","121.3140640258789","122.3750228881836","122.3750228881836","122.3750228881836"
"74","126.0586166381836","126.0586166381836","126.0586166381836","131.28985595703125","131.28985595703125","131.28985595703125","151.97166442871094","151.97166442871094","151.97166442871094","114.55728149414062","114.55728149414062","114.55728149414062","120.54798126220703","120.54798126220703","120.54798126220703","","",""
"76","124.98486328125","124.98486328125","124.98486328125","130.17164611816406","130.17164611816406","130.17164611816406","153.3069305419922","153.3069305419922","153.3069305419922","115.9942398071289","115.9942398071289","115.9942398071289","119.48737335205078","119.48737335205078","119.48737335205078","","",""
"78","124.45821380615234","124.45821380615234","124.45821380615234","130.4103546142578","130.4103546142578","130.4103546142578","151.12974548339844","151.12974548339844","151.12974548339844","117.50485229492188","117.50485229492188","117.50485229492188","120.21508026123047","120.21508026123047","120.21508026123047","","",""
"80","124.1048355102539","124.1048355102539","124.1048355102539","130.0731201171875","130.0731201171875","130.0731201171875","151.91470336914062","151.91470336914062","151.91470336914062","115.69046020507812","115.69046020507812","115.69046020507812","121.91853332519531","121.91853332519531","121.91853332519531","","",""
"82","123.4390640258789","123.4390640258789","123.4390640258789","129.80184936523438","129.80184936523438","129.80184936523438","151.24835205078125","151.24835205078125","151.24835205078125","117.27384185791016","117.27384185791016","117.27384185791016","120.73164367675781","120.73164367675781","120.73164367675781","","",""
"84","123.14888763427734","123.14888763427734","123.14888763427734","128.2510986328125","128.2510986328125","128.2510986328125","152.8922576904297","152.8922576904297","152.8922576904297","118.74243927001953","118.74243927001953","118.74243927001953","121.56768798828125","121.56768798828125","121.56768798828125","","",""
"86","122.7480697631836","122.7480697631836","122.7480697631836","129.11485290527344","129.11485290527344","129.11485290527344","150.09307861328125","150.09307861328125","150.09307861328125","116.65930938720703","116.65930938720703","116.65930938720703","121.16110229492188","121.16110229492188","121.16110229492188","","",""
"88","121.88056945800781","121.88056945800781","121.88056945800781","127.11537170410156","127.11537170410156","127.11537170410156","149.21632385253906","149.21632385253906","149.21632385253906","115.2760238647461","115.2760238647461","115.2760238647461","121.18206787109375","121.18206787109375","121.18206787109375","","",""
"90","121.5976791381836","121.5976791381836","121.5976791381836","126.54150390625","126.54150390625","126.54150390625","148.61849975585938","148.61849975585938","148.61849975585938","116.83077239990234","116.83077239990234","116.83077239990234","121.36687469482422","121.36687469482422","121.36687469482422","","",""
"92","121.27113342285156","121.27113342285156","121.27113342285156","126.56432342529297","126.56432342529297","126.56432342529297","152.43316650390625","152.43316650390625","152.43316650390625","116.72431945800781","116.72431945800781","116.72431945800781","122.13544464111328","122.13544464111328","122.13544464111328","","",""
"94","120.2867202758789","120.2867202758789","120.2867202758789","127.73199462890625","127.73199462890625","127.73199462890625","149.7506103515625","149.7506103515625","149.7506103515625","115.33201599121094","115.33201599121094","115.33201599121094","121.53032684326172","121.53032684326172","121.53032684326172","","",""
"96","120.14787292480469","120.14787292480469","120.14787292480469","125.10456085205078","125.10456085205078","125.10456085205078","147.99380493164062","147.99380493164062","147.99380493164062","116.04732513427734","116.04732513427734","116.04732513427734","122.28240966796875","122.28240966796875","122.28240966796875","","",""
"98","120.67744445800781","120.67744445800781","120.67744445800781","127.28268432617188","127.28268432617188","127.28268432617188","149.289794921875","149.289794921875","149.289794921875","116.2152328491211","116.2152328491211","116.2152328491211","122.05447387695312","122.05447387695312","122.05447387695312","","",""
